,PartNumber,Inductance,SubCkt
940,0805HP-221,220nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-221;* Inductance = 220nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-221_imp port1 port2 PARAMS: Cpar=0.134pF Ind=217.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=12.8;+ R2=0.426;+ C= {Cpar};+ K1=0.0002374;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=80692.2753;.ends 0805HP-221_imp
941,0805HP-251,250nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-251;* Inductance = 250nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-251_imp port1 port2 PARAMS: Cpar=0.084pF Ind=250nH;X1 port1 port2 Model1D PARAMS:;+ R1=20;+ R2=0.5592;+ C= {Cpar};+ K1=0.00016;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=117633.679;.ends 0805HP-251_imp
942,0805HP-271,270nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-271;* Inductance = 270nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-271_imp port1 port2 PARAMS: Cpar=0.138pF Ind=266.1nH;X1 port1 port2 Model1D PARAMS:;+ R1=15;+ R2=0.754;+ C= {Cpar};+ K1=0.0001454;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=100488.164;.ends 0805HP-271_imp
943,0805HP-291,290nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-291;* Inductance = 290nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-291_imp port1 port2 PARAMS: Cpar=0.077pF Ind=290nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.7848;+ C= {Cpar};+ K1=0.00017;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=203059.442;.ends 0805HP-291_imp
944,0805HP-311,310nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-311;* Inductance = 310nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-311_imp port1 port2 PARAMS: Cpar=0.078pF Ind=310nH;X1 port1 port2 Model1D PARAMS:;+ R1=12;+ R2=0.8256;+ C= {Cpar};+ K1=0.0002;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=216021.563;.ends 0805HP-311_imp
945,0805HP-331,330nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-331;* Inductance = 330nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-331_imp port1 port2 PARAMS: Cpar=0.132pF Ind=324.4nH;X1 port1 port2 Model1D PARAMS:;+ R1=16.6;+ R2=1.004;+ C= {Cpar};+ K1=0.0002734;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=101991.438;.ends 0805HP-331_imp
946,0805HP-391,390nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-391;* Inductance = 390nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-391_imp port1 port2 PARAMS: Cpar=0.135pF Ind=382.1nH;X1 port1 port2 Model1D PARAMS:;+ R1=9.8;+ R2=1.11;+ C= {Cpar};+ K1=0.0003374;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=151107.45;.ends 0805HP-391_imp
947,0805HP-471,470nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-471;* Inductance = 470nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-471_imp port1 port2 PARAMS: Cpar=0.131pF Ind=467.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=14.6;+ R2=1.559;+ C= {Cpar};+ K1=0.0003874;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=146016.812;.ends 0805HP-471_imp
948,0805HP-561,560nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-561;* Inductance = 560nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-561_imp port1 port2 PARAMS: Cpar=0.15pF Ind=558.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=26;+ R2=2.067;+ C= {Cpar};+ K1=0.0005374;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=96524.0771;.ends 0805HP-561_imp
949,0805HP-681,680nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-681;* Inductance = 680nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-681_imp port1 port2 PARAMS: Cpar=0.13pF Ind=678.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=17.6;+ R2=2.355;+ C= {Cpar};+ K1=0.0006654;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=158152.328;.ends 0805HP-681_imp
950,0805HP-821,820nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HP-821;* Inductance = 820nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HP-821_imp port1 port2 PARAMS: Cpar=0.13pF Ind=817.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=28.8;+ R2=3.945;+ C= {Cpar};+ K1=0.0006114;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=148706.055;.ends 0805HP-821_imp
953,0805HQ-2N5,2.5nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-2N5;* Inductance = 2.5nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-19.8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-2N5_imp port1 port2 PARAMS: Cpar=0.029pF Ind=2.7nH;X1 port1 port2 Model1D PARAMS:;+ R1=6;+ R2=0.02;+ C= {Cpar};+ K1=0.0000069;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=13446.4899;.ends 0805HQ-2N5_imp
954,0805HQ-5N6,5.6nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-5N6;* Inductance = 5.6nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-11GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-5N6_imp port1 port2 PARAMS: Cpar=0.044pF Ind=5.8nH;X1 port1 port2 Model1D PARAMS:;+ R1=7;+ R2=0.04;+ C= {Cpar};+ K1=0.0000119;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=16102.4933;.ends 0805HQ-5N6_imp
955,0805HQ-6N2,6.2nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-6N2;* Inductance = 6.2nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-10.1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-6N2_imp port1 port2 PARAMS: Cpar=0.056pF Ind=6.4nH;X1 port1 port2 Model1D PARAMS:;+ R1=8;+ R2=0.04;+ C= {Cpar};+ K1=0.0000115;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=12625.7184;.ends 0805HQ-6N2_imp
956,0805HQ-12N,12nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-12N;* Inductance = 12nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-5.8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-12N_imp port1 port2 PARAMS: Cpar=0.09pF Ind=12.2nH;X1 port1 port2 Model1D PARAMS:;+ R1=10;+ R2=0.05;+ C= {Cpar};+ K1=0.000025;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11558.1865;.ends 0805HQ-12N_imp
957,0805HQ-16N,16nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-16N;* Inductance = 16nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-5.9GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-16N_imp port1 port2 PARAMS: Cpar=0.064pF Ind=16.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=11;+ R2=0.06;+ C= {Cpar};+ K1=0.0000262;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=20093.8335;.ends 0805HQ-16N_imp
958,0805HQ-18N,18nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-18N;* Inductance = 18nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-18N_imp port1 port2 PARAMS: Cpar=0.079pF Ind=18.6nH;X1 port1 port2 Model1D PARAMS:;+ R1=12;+ R2=0.06;+ C= {Cpar};+ K1=0.0000283;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=17037.4439;.ends 0805HQ-18N_imp
959,0805HQ-20N,20nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-20N;* Inductance = 20nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-3.8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-20N_imp port1 port2 PARAMS: Cpar=0.128pF Ind=20.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=11;+ R2=0.06;+ C= {Cpar};+ K1=0.0000338;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=12435.5029;.ends 0805HQ-20N_imp
960,0805HQ-27N,27nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-27N;* Inductance = 27nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-3.9GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-27N_imp port1 port2 PARAMS: Cpar=0.093pF Ind=27nH;X1 port1 port2 Model1D PARAMS:;+ R1=14;+ R2=0.07;+ C= {Cpar};+ K1=0.0000434;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=17659.402;.ends 0805HQ-27N_imp
961,0805HQ-30N,30nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-30N;* Inductance = 30nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-3GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-30N_imp port1 port2 PARAMS: Cpar=0.137pF Ind=30nH;X1 port1 port2 Model1D PARAMS:;+ R1=12;+ R2=0.1;+ C= {Cpar};+ K1=0.0000458;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=15337.7793;.ends 0805HQ-30N_imp
962,0805HQ-39N,39nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-39N;* Inductance = 39nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.9GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-39N_imp port1 port2 PARAMS: Cpar=0.117pF Ind=39nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.11;+ C= {Cpar};+ K1=0.0000629;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=20770.0202;.ends 0805HQ-39N_imp
963,0805HQ-48N,48nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-48N;* Inductance = 48nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.6GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-48N_imp port1 port2 PARAMS: Cpar=0.116pF Ind=48nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.1;+ C= {Cpar};+ K1=0.0000759;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=25075.8851;.ends 0805HQ-48N_imp
964,0805HQ-51N,51nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HQ-51N;* Inductance = 51nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HQ-51N_imp port1 port2 PARAMS: Cpar=0.116pF Ind=51nH;X1 port1 port2 Model1D PARAMS:;+ R1=11;+ R2=0.12;+ C= {Cpar};+ K1=0.000088;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=29309.1675;.ends 0805HQ-51N_imp
967,0805HS-030,3nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-030;* Inductance = 3nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-15.9GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-030_imp port1 port2 PARAMS: Cpar=0.038pF Ind=3.21nH;X1 port1 port2 Model1D PARAMS:;+ R1=3;+ R2=0.08;+ C= {Cpar};+ K1=0.0000122;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=18922.4053;.ends 0805HS-030_imp
968,0805HS-060,6nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-060;* Inductance = 6nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-11.6GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-060_imp port1 port2 PARAMS: Cpar=0.034pF Ind=6.72nH;X1 port1 port2 Model1D PARAMS:;+ R1=5;+ R2=0.11;+ C= {Cpar};+ K1=0.0000207;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=27745.7486;.ends 0805HS-060_imp
969,0805HS-080,8nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-080;* Inductance = 8nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-7.8GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-080_imp port1 port2 PARAMS: Cpar=0.063pF Ind=8.05nH;X1 port1 port2 Model1D PARAMS:;+ R1=7;+ R2=0.12;+ C= {Cpar};+ K1=0.0000234;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=14252.578;.ends 0805HS-080_imp
970,0805HS-120,12nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-120;* Inductance = 12nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-7GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-120_imp port1 port2 PARAMS: Cpar=0.053pF Ind=12nH;X1 port1 port2 Model1D PARAMS:;+ R1=12;+ R2=0.15;+ C= {Cpar};+ K1=0.0000244;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=16249.4701;.ends 0805HS-120_imp
971,0805HS-150,15nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-150;* Inductance = 15nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-4.6GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-150_imp port1 port2 PARAMS: Cpar=0.101pF Ind=15nH;X1 port1 port2 Model1D PARAMS:;+ R1=11;+ R2=0.17;+ C= {Cpar};+ K1=0.0000304;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=11478.6957;.ends 0805HS-150_imp
972,0805HS-180,18nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-180;* Inductance = 18nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-5.5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-180_imp port1 port2 PARAMS: Cpar=0.058pF Ind=18nH;X1 port1 port2 Model1D PARAMS:;+ R1=10;+ R2=0.2;+ C= {Cpar};+ K1=0.0000369;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=24654.9914;.ends 0805HS-180_imp
973,0805HS-220,22nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-220;* Inductance = 22nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-4.1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-220_imp port1 port2 PARAMS: Cpar=0.084pF Ind=22nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.22;+ C= {Cpar};+ K1=0.0000417;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=16862.3891;.ends 0805HS-220_imp
974,0805HS-270,27nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-270;* Inductance = 27nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-4.4GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-270_imp port1 port2 PARAMS: Cpar=0.061pF Ind=27nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.25;+ C= {Cpar};+ K1=0.0000515;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=27285.9054;.ends 0805HS-270_imp
975,0805HS-330,33nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-330;* Inductance = 33nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-3.2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-330_imp port1 port2 PARAMS: Cpar=0.091pF Ind=33nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.27;+ C= {Cpar};+ K1=0.0000571;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=22561.8057;.ends 0805HS-330_imp
976,0805HS-390,39nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-390;* Inductance = 39nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-3.2GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-390_imp port1 port2 PARAMS: Cpar=0.08pF Ind=39nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.29;+ C= {Cpar};+ K1=0.0000681;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=29311.2382;.ends 0805HS-390_imp
977,0805HS-470,47nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-470;* Inductance = 47nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.6GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-470_imp port1 port2 PARAMS: Cpar=0.102pF Ind=47nH;X1 port1 port2 Model1D PARAMS:;+ R1=12;+ R2=0.31;+ C= {Cpar};+ K1=0.0000831;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=28832.8719;.ends 0805HS-470_imp
978,0805HS-560,56nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-560;* Inductance = 56nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.5GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-560_imp port1 port2 PARAMS: Cpar=0.089pF Ind=56nH;X1 port1 port2 Model1D PARAMS:;+ R1=11;+ R2=0.34;+ C= {Cpar};+ K1=0.000101;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=39839.7955;.ends 0805HS-560_imp
979,0805HS-680,68nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-680;* Inductance = 68nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.4GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-680_imp port1 port2 PARAMS: Cpar=0.084pF Ind=67.5nH;X1 port1 port2 Model1D PARAMS:;+ R1=13;+ R2=0.38;+ C= {Cpar};+ K1=0.00012;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=43402.4002;.ends 0805HS-680_imp
980,0805HS-820,82nH,*======================================================================;* SPICE Model generated by Coilcraft;* Coilcraft Part Number : 0805HS-820;* Inductance = 82nH;*======================================================================;* Model Parameters:;*   Valid Frequency Range = 0.001GHz-2.1GHz;*   Ambient Temperature = 25 degC;*   Inductor Impedance Model;*   Use model for Time Domain simulations;*======================================================================;.subckt 0805HS-820_imp port1 port2 PARAMS: Cpar=0.087pF Ind=81.4nH;X1 port1 port2 Model1D PARAMS:;+ R1=14;+ R2=0.42;+ C= {Cpar};+ K1=0.000134;+ K2=0;+ K3= {Ind};+ K4=0;+ K5=0;+ L=0;+ Is=0;+ a=0;+ L_Z0=0;+ L_EL=0;+ L_F0=0E6;+ PkZ=47194.934;.ends 0805HS-820_imp
